                  epoch,             train/loss,  metrics/accuracy_top1,  metrics/accuracy_top5,               val/loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.8107,                0.48529,                0.97059,                 1.8344,             0.00023523,             0.00023523,             0.00023523
                      2,                 1.0712,                   0.75,                      1,                 1.5726,             0.00045762,             0.00045762,             0.00045762
                      3,                0.66811,                0.80882,                      1,                 1.3464,             0.00066429,             0.00066429,             0.00066429
                      4,                0.60554,                0.91176,                      1,                 1.3273,             0.00064331,             0.00064331,             0.00064331
                      5,                0.46541,                0.79412,                      1,                 1.3201,             0.00061975,             0.00061975,             0.00061975
                      6,                0.49862,                0.83824,                      1,                 1.3455,             0.00059619,             0.00059619,             0.00059619
                      7,                0.41254,                0.86765,                      1,                 1.3392,             0.00057263,             0.00057263,             0.00057263
                      8,                0.38991,                0.88235,                      1,                 1.3099,             0.00054907,             0.00054907,             0.00054907
                      9,                0.36024,                0.89706,                      1,                 1.2987,              0.0005255,              0.0005255,              0.0005255
                     10,                0.35297,                0.92647,                      1,                 1.2287,             0.00050194,             0.00050194,             0.00050194
                     11,                0.36105,                0.92647,                      1,                 1.2248,             0.00047838,             0.00047838,             0.00047838
                     12,                0.33071,                0.94118,                      1,                 1.2358,             0.00045482,             0.00045482,             0.00045482
                     13,                0.32454,                0.94118,                      1,                 1.3466,             0.00043126,             0.00043126,             0.00043126
                     14,                0.32293,                0.95588,                      1,                 1.2254,             0.00040769,             0.00040769,             0.00040769
                     15,                0.29805,                0.95588,                      1,                 1.2389,             0.00038413,             0.00038413,             0.00038413
                     16,                0.31035,                0.94118,                      1,                 1.3218,             0.00036057,             0.00036057,             0.00036057
                     17,                0.31553,                0.91176,                      1,                 1.2662,             0.00033701,             0.00033701,             0.00033701
                     18,                0.28936,                0.95588,                      1,                 1.2506,             0.00031345,             0.00031345,             0.00031345
                     19,                0.28444,                0.94118,                      1,                  1.217,             0.00028988,             0.00028988,             0.00028988
                     20,                0.27814,                0.95588,                      1,                 1.2089,             0.00026632,             0.00026632,             0.00026632
                     21,                0.25717,                0.95588,                      1,                 1.2168,             0.00024276,             0.00024276,             0.00024276
                     22,                0.23721,                0.95588,                      1,                 1.2097,              0.0002192,              0.0002192,              0.0002192
                     23,                0.24575,                0.95588,                      1,                  1.209,             0.00019564,             0.00019564,             0.00019564
                     24,                 0.2352,                0.92647,                      1,                 1.2273,             0.00017207,             0.00017207,             0.00017207
                     25,                 0.2928,                0.95588,                      1,                 1.2317,             0.00014851,             0.00014851,             0.00014851
                     26,                 0.2296,                0.95588,                      1,                 1.2071,             0.00012495,             0.00012495,             0.00012495
                     27,                0.26157,                0.95588,                      1,                   1.21,             0.00010139,             0.00010139,             0.00010139
                     28,                0.23755,                0.95588,                      1,                 1.2078,             7.7826e-05,             7.7826e-05,             7.7826e-05
                     29,                0.27073,                0.95588,                      1,                 1.2112,             5.4264e-05,             5.4264e-05,             5.4264e-05
                     30,                0.27889,                0.94118,                      1,                 1.2302,             3.0702e-05,             3.0702e-05,             3.0702e-05
